stock,time,price,shares
JHX,30:00.0,57,95
JNJ,30:00.0,91.14,548
OPK,30:00.0,8.3,300
OPK,30:00.0,8.3,63
OMC,30:00.0,74.53,100
OMC,30:00.0,74.53,24
TWTR,30:00.0,64.89,100
TWTR,30:00.0,64.89,25
TWTR,30:00.0,64.89,245
TWTR,30:00.0,64.89,55
USB,30:00.0,39.71,400
USB,30:00.0,39.71,359
USB,30:00.0,39.71,41
USB,30:00.0,39.71,259
USB,30:00.0,39.71,100
VALE,30:00.0,14.88,900
